answer;result
Какие строчки заставляют ваше сердце биться чаще?;
Они думали, мы упадём - океанами стали, мне это нравится, нравится. ;ГБ
Я — это ты, ты — это я, и никого не надо нам.;КП
Плыл по пруду барабан, был барабан бобром замечен, жизнь бобра менять пора, так решил он в этот вечер.;КБ
Девочки и мальчики, сладкие, как карамельки, а на них большие башмаки, это барбарики.;ОУЭД
Мы убежим - нас не догонят. Дальше от них, дальше от дома!;ДП
Если спросят меня, где взяла я такого мальчишку сладкого, я отвечу, что угнала... ;ЭА
Ты первый в биткоин сделал вложения, для microsoft писал дополнения, так меня манят твой ум и стремления и моноколёсный скутер с сидением.;ДН
Зачем мне солнце, Монако, для чего скажи мне луна Сен Тропе?;ПИМ
Едем, едем в соседнее село на дискотеку! Едем, едем на дискотеку со своей фонотекой.;РИК
Выберите еду/напиток;
гамбургер;ГБ
космостарс;ДН
шоколадное печенье;ДП
ананас;ПИМ
яблочное пюре;ОУЭД
чипсы;КБ
пицца;КП
овощной салат;РИК
сэндвич;ЭА
