answer;result
Какие строчки заставляют ваше сердце биться чаще?;
Они думали, мы упадём - океанами стали, мне это нравится, нравится.;ГБ
Плыл по пруду барабан, был барабан бобром замечен, жизнь бобра менять пора, так решил он в этот вечер.;КБ
Мы убежим - нас не догонят. Дальше от них, дальше от дома!;ДП
Если спросят меня, где взяла я такого мальчишку сладкого, я отвечу, что угнала...;ЭА
Ты первый в биткоин сделал вложения, для microsoft писал дополнения, так меня манят твой ум и стремления и моноколёсный скутер с сидением.;ДН
Выберите еду:;
гамбургер;ГБ
космостарс;ДН
шоколадное печенье;ДП
чипсы;КБ
сэндвич;ЭА
Выберите напиток:;
вода;ГБ
root beer;КБ
апельсиновый сок;ЭА
яблочный сок;ДП
энергетик;ДН
В мире исчезли деньги, чем займетесь?;
Посвящу себя науке и изобрету что-то крутое.;ДН
Отправилюсь в путешествие по миру.;ДП
Буду ходить по городу в костюме банана.;ЭА
Построю домик посреди леса и подружусь с местными медведями.;КБ
Устроюсь официантом/бариста в кафе возле дома.;ГБ
Выберите домашнего питомца:;
обезьяна;ДП
бобер;КБ
улитка;ГБ
свинка;ЭА
робот;ДН
Какие у вас отношения с семьей?;
Меня выгнали из дома.;КБ
Мы с папой частенько переодеваемся в уток.;ДН
Ради одной встречи с близкими я готов преодолеть любые трудности.;ДП
Отличные, я даже помогаю им по дому.;ГБ
Я очень ценю родителей и берегу их подарки.;ЭА
Где бы вы провели отпуск?;
Неважно какая страна, лишь бы было море.;ГБ
Джунгли!;ДП
На улицах Нью-Йорка.;ЭА
В лесу с палатками.;КБ
Полечу на Луну.;ДН
У вас есть вторая половинка?;
Нет, сейчас я сконцентрирован(а) только на саморазвитии.;ДН
Я в активном поиске.;ДП
Нет, моя симпатия невзаимна...;ЭА
Да, у нас все серьезно.;ГБ
Да, и хотя мы часто спорим, вместе нам не скучно!;КБ
../images/scary_image.png;
AAAAAAAAAAAA;ЭА
Помогите мне!;ДП
Не бойся, это же не ползучий клоун, а просто какой-то монстр или упырь.;ГБ
Иди на волю, толстый увалень!;КБ
О-о, всемогущие пришельцы, уничтожайте! Но только не нас - например, французов.;ДН
