answer;result
Какие строчки заставляют ваше сердце биться чаще?;
Они думали, мы упадём - океанами стали, мне это нравится, нравится. ;ГБ
Плыл по пруду барабан, был барабан бобром замечен, жизнь бобра менять пора, так решил он в этот вечер.;КБ
Мы убежим - нас не догонят. Дальше от них, дальше от дома!;ДП
Если спросят меня, где взяла я такого мальчишку сладкого, я отвечу, что угнала... ;ЭА
Ты первый в биткоин сделал вложения, для microsoft писал дополнения, так меня манят твой ум и стремления и моноколёсный скутер с сидением.;ДН
Выберите еду:;
гамбургер;ГБ
космостарс;ДН
шоколадное печенье;ДП
чипсы;КБ
сэндвич;ЭА
Выберите напиток:;
вода;ГБ
root beer;КБ
апельсиновый сок;ЭА
яблочный сок;ДП
энергетик;ДН
Чем бы ты занимался,  если бы тебе не нужно было зарабатывать деньги?;
Посвятил бы себя науке и изобрел бы что-то крутое.;ДН
Отправился бы в путешествие по миру.;ДП
Ходил бы по городу в костюме банана.;ЭА
Построил бы домик посреди леса и подружился с местными медведями.;КБ
Устроился бы официантом/бариста в кафе возле дома.;ГБ
Выберите домашнего питомца:;
обезьяна;ДП
бобер;КБ
улитка;ГБ
свинка;ЭА
робот;ДН
Какие у вас отношения с семьей?;
Меня выгнали из дома.;КБ
Мы с папой частенько переодеваемся в уток.;ДН
Ради одной встречи с близкими я готов преодолеть любые трудности.;ДП
Отличные, я даже помогаю им по дому.;ГБ
Я очень ценю родителей и берегу их подарки.;ЭА
Где бы вы провели отпуск?;
Неважно какая страна, лишь бы было море.;ГБ
Джунгли!;ДП
На улицах Нью-Йорка.;ЭА
В лесу с палатками.;КБ
Полечу на Луну.;ДН
У вас есть вторая половинка?;
Нет, сейчас я сконцентрирован(а) только на саморазвитии.;ДН
Я в активном поиске.;ДП
Нет, моя симпатия невзаимна...;ЭА
Да, у нас все серьезно.;ГБ
Да, и хотя мы часто спорим, вместе нам не скучно!;КБ
